time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.387248343180652e-07,-8.25786566372037e-08,10.00128520843204,6.282943215582595,0.0002520788729913903,0.0,-2.0778942122250907e-05,-1.2621218052188198e-05,0.04283918992818543,-0.013659970793721034,0.011501910083211575,0.0,418.194136425866,419.19456428068514,418.6433164914091,417.4533394853074
0.12000000000000001,-9.494348043600904e-06,-9.23000339208753e-06,10.007396118718397,6.282065827664649,0.0008793024529643034,0.0,-0.00035677933344043075,-0.0003810335062509399,0.16084768543239925,-0.016622517209546463,0.008270335668421943,0.0,442.28611700463,442.0198097245979,443.1343410651555,442.8908950088289
0.18,-5.326827052309882e-05,-6.235958045701891e-05,10.022519135828354,6.280867332253948,0.0011138242667918519,0.0,-0.0011461715497000542,-0.0015141294287184409,0.3432148987740055,-0.027702069014696407,-0.006677089209964966,0.0,463.5008469017846,462.3247837947306,462.2058243838463,461.3319922058707
0.23999999999999996,-0.0001459963107756507,-0.00021371436591566297,10.048502594422203,6.278812831548546,0.0007076012962308198,0.0,-0.0018987862219480166,-0.003736546705625492,0.5228343075111833,-0.05240070825988353,-0.006957632451126481,0.0,461.02618196108114,461.00412823528217,463.20198361035955,461.2553093667794
0.3,-0.0002736523065435153,-0.0005407840800977565,10.082971400726956,6.275620388103139,0.0008090996752718738,0.0,-0.002344297082156915,-0.007490174090296729,0.6260727110974977,-0.054870976476161626,0.014980399173396096,0.0,437.66794362230354,439.48975730504566,437.98747614842677,437.7801006831359
0.36000000000000004,-0.00043867339305747296,-0.0011849741512155354,10.12690398475541,6.273274803077326,0.002320714469136398,0.0,-0.0033055524394543343,-0.014303058415930719,0.8382121599190815,-0.018542304173365658,0.04028290586961428,0.0,470.80471394607014,472.7581336990385,469.97551879323885,472.7814943012147
0.4200000000000001,-0.0007032358346691178,-0.0022855435988934623,10.18348755518412,6.271895975327528,0.004414736185072599,0.0,-0.0057830210903754235,-0.022525852815724105,1.0477358914597141,-0.03379409504916047,0.021057909121847122,0.0,470.9404339810576,469.45166814186604,472.62141144022513,471.4445444386684
0.48000000000000015,-0.0011548766392108628,-0.0038995335524570954,10.251186402069193,6.2697975372386985,0.005774009675035607,0.0,-0.009416749606311413,-0.03150092875062952,1.208732196011859,-0.03744421222506111,0.025670246114484707,0.0,456.6476926911344,457.0154456682543,457.2556182612448,456.9642875526151
0.5400000000000001,-0.0018547785256885494,-0.006096107015190137,10.32827691024315,6.2678121818732695,0.007521420500949283,0.0,-0.014093473402572908,-0.04194671148145129,1.3607780097830597,-0.025558264087752774,0.03526227835073295,0.0,454.4500084640838,455.2183584958215,453.877647878962,454.8300429095588
0.6000000000000002,-0.002880589719101211,-0.008968284602288512,10.414954253208744,6.266127280212668,0.010118347993690158,0.0,-0.020366404659139452,-0.05396887396244011,1.5282524509447535,-0.033676983119451186,0.0558022279981115,0.0,459.1993927948249,460.8266446939025,459.6325443691194,458.9885399860561
0.6600000000000003,-0.0043632060384725885,-0.012628365331742305,10.513268692078494,6.264911608753533,0.01327480488780175,0.0,-0.029441571264961896,-0.06821217751685911,1.7485768818073153,-0.0018651695475208861,0.04530222286177856,0.0,475.96418355577924,475.16157382484454,474.8856262266158,477.31925813215184
0.7200000000000003,-0.006462840458882565,-0.01716339765168515,10.624700563917841,6.264372506485071,0.01562287078553215,0.0,-0.04084885751821791,-0.08298042027859322,1.9654661341949693,-0.029664987076520006,0.022451003765697187,0.0,475.9374654153264,474.18602949378857,476.9857587691443,474.8582155739142
0.7800000000000004,-0.009173389720600595,-0.022455416406754126,10.741321567208045,6.262444079833855,0.016990757938628143,0.0,-0.04961365388475146,-0.093571059864549,1.9219696205566505,-0.03761727170509599,0.02348338699637309,0.0,393.0279416324754,393.1237209381797,392.8995967315831,392.16111080021057
0.8400000000000004,-0.01250682619510275,-0.02850724440505382,10.859650463139346,6.259847962310651,0.018257627728507586,0.0,-0.06163497801729945,-0.10839699328027996,2.022146104210194,-0.05804443007021378,0.01589766889932724,0.0,441.2496967097383,440.6230600239084,441.1976133669021,439.50675919258015
0.9000000000000005,-0.016588842864436206,-0.03551055755789077,10.984142613695216,6.255923412246974,0.019031643935189635,0.0,-0.07451844069157343,-0.12541559879550096,2.127389709252487,-0.08722414477300788,0.00610675427229595,0.0,443.6783817240729,442.87373126040865,443.201123652287,440.79288191799606
0.9600000000000005,-0.021454596607522528,-0.04361838198708878,11.114762917272632,6.250313765984668,0.019660852435145593,0.0,-0.0877217959303493,-0.14538746433094263,2.226413406331897,-0.11056047879472175,0.018056887051125455,0.0,440.9838917831813,441.9697549208317,441.7343687517989,439.79804229199783
1.0200000000000005,-0.027201541342214,-0.053171329422652965,11.255022966217341,6.244095322856381,0.020439320807974504,0.0,-0.10394924981749212,-0.17379680070764225,2.448440180715909,-0.09252260854178149,0.00013235823631759826,0.0,478.88701648257813,477.5215875847902,478.7732738318585,480.1349582165239
1.0800000000000005,-0.033942498796538226,-0.06458786436978275,11.408896383762807,6.238463261417472,0.020037657953496435,0.0,-0.12072205318444015,-0.20741278234382726,2.6801278360149916,-0.09670130941134969,-0.026069294689846097,0.0,483.4561591382596,481.47805130077916,482.91143989293744,482.58943287272626
